"county","sex","year","checked","sampled"
"BOONE","F","2014",74,32
"BOONE","M","2014",123,42
"CARROLL","F","2014",NA,NA
"CARROLL","M","2014",NA,NA
"DEKALB","F","2014",43,27
"DEKALB","M","2014",73,30
"GRUNDY","F","2014",137,104
"GRUNDY","M","2014",201,100
"JODAVIESS","F","2014",709,467
"JODAVIESS","M","2014",1077,404
"KANKAKEE","F","2014",NA,NA
"KANKAKEE","M","2014",NA,NA
"KENDALL","F","2014",NA,NA
"KENDALL","M","2014",NA,NA
"LASALLE","F","2014",236,150
"LASALLE","M","2014",295,153
"LIVINGSTON","F","2014",NA,NA
"LIVINGSTON","M","2014",NA,NA
"MCHENRY","F","2014",68,53
"MCHENRY","M","2014",117,68
"OGLE","F","2014",307,167
"OGLE","M","2014",324,133
"STEPHENSON","F","2014",394,209
"STEPHENSON","M","2014",518,199
"WILL","F","2014",NA,NA
"WILL","M","2014",NA,NA
"WINNEBAGO","F","2014",124,83
"WINNEBAGO","M","2014",155,73
"BOONE","F","2015",77,42
"BOONE","M","2015",145,49
"CARROLL","F","2015",NA,NA
"CARROLL","M","2015",NA,NA
"DEKALB","F","2015",55,36
"DEKALB","M","2015",72,36
"GRUNDY","F","2015",157,107
"GRUNDY","M","2015",244,126
"JODAVIESS","F","2015",826,490
"JODAVIESS","M","2015",1133,448
"KANKAKEE","F","2015",NA,NA
"KANKAKEE","M","2015",NA,NA
"KENDALL","F","2015",NA,NA
"KENDALL","M","2015",NA,NA
"LASALLE","F","2015",242,138
"LASALLE","M","2015",346,141
"LIVINGSTON","F","2015",NA,NA
"LIVINGSTON","M","2015",NA,NA
"MCHENRY","F","2015",63,38
"MCHENRY","M","2015",109,60
"OGLE","F","2015",315,200
"OGLE","M","2015",356,159
"STEPHENSON","F","2015",378,191
"STEPHENSON","M","2015",562,226
"WILL","F","2015",64,50
"WILL","M","2015",110,70
"WINNEBAGO","F","2015",125,68
"WINNEBAGO","M","2015",201,92
"BOONE","F","2016",77,35
"BOONE","M","2016",126,40
"CARROLL","F","2016",NA,NA
"CARROLL","M","2016",NA,NA
"DEKALB","F","2016",26,17
"DEKALB","M","2016",71,27
"GRUNDY","F","2016",124,90
"GRUNDY","M","2016",189,85
"JODAVIESS","F","2016",646,453
"JODAVIESS","M","2016",1021,438
"KANKAKEE","F","2016",61,43
"KANKAKEE","M","2016",74,45
"KENDALL","F","2016",27,20
"KENDALL","M","2016",46,28
"LASALLE","F","2016",196,140
"LASALLE","M","2016",293,135
"LIVINGSTON","F","2016",125,90
"LIVINGSTON","M","2016",163,93
"MCHENRY","F","2016",51,35
"MCHENRY","M","2016",110,70
"OGLE","F","2016",251,153
"OGLE","M","2016",338,146
"STEPHENSON","F","2016",394,214
"STEPHENSON","M","2016",510,199
"WILL","F","2016",38,25
"WILL","M","2016",87,48
"WINNEBAGO","F","2016",72,44
"WINNEBAGO","M","2016",180,85
"BOONE","F","2017",72,31
"BOONE","M","2017",126,48
"CARROLL","F","2017",NA,NA
"CARROLL","M","2017",NA,NA
"DEKALB","F","2017",30,15
"DEKALB","M","2017",66,31
"GRUNDY","F","2017",146,107
"GRUNDY","M","2017",165,93
"JODAVIESS","F","2017",676,441
"JODAVIESS","M","2017",954,494
"KANKAKEE","F","2017",43,34
"KANKAKEE","M","2017",91,55
"KENDALL","F","2017",20,11
"KENDALL","M","2017",50,27
"LASALLE","F","2017",169,114
"LASALLE","M","2017",268,145
"LIVINGSTON","F","2017",128,95
"LIVINGSTON","M","2017",186,100
"MCHENRY","F","2017",63,50
"MCHENRY","M","2017",102,67
"OGLE","F","2017",251,166
"OGLE","M","2017",349,176
"STEPHENSON","F","2017",351,208
"STEPHENSON","M","2017",462,214
"WILL","F","2017",32,26
"WILL","M","2017",69,40
"WINNEBAGO","F","2017",90,59
"WINNEBAGO","M","2017",143,83
"BOONE","F","2018",51,31
"BOONE","M","2018",152,60
"CARROLL","F","2018",NA,NA
"CARROLL","M","2018",NA,NA
"DEKALB","F","2018",24,17
"DEKALB","M","2018",66,41
"GRUNDY","F","2018",115,77
"GRUNDY","M","2018",198,95
"JODAVIESS","F","2018",608,395
"JODAVIESS","M","2018",889,418
"KANKAKEE","F","2018",50,40
"KANKAKEE","M","2018",104,76
"KENDALL","F","2018",23,17
"KENDALL","M","2018",49,30
"LASALLE","F","2018",182,132
"LASALLE","M","2018",318,167
"LIVINGSTON","F","2018",138,109
"LIVINGSTON","M","2018",182,110
"MCHENRY","F","2018",45,38
"MCHENRY","M","2018",104,67
"OGLE","F","2018",213,146
"OGLE","M","2018",336,174
"STEPHENSON","F","2018",270,186
"STEPHENSON","M","2018",395,225
"WILL","F","2018",40,34
"WILL","M","2018",114,63
"WINNEBAGO","F","2018",79,45
"WINNEBAGO","M","2018",178,101
"BOONE","F","2019",52,31
"BOONE","M","2019",116,43
"CARROLL","F","2019",NA,NA
"CARROLL","M","2019",NA,NA
"DEKALB","F","2019",28,19
"DEKALB","M","2019",57,31
"GRUNDY","F","2019",112,80
"GRUNDY","M","2019",158,77
"JODAVIESS","F","2019",598,393
"JODAVIESS","M","2019",687,342
"KANKAKEE","F","2019",51,44
"KANKAKEE","M","2019",94,60
"KENDALL","F","2019",21,12
"KENDALL","M","2019",47,27
"LASALLE","F","2019",180,120
"LASALLE","M","2019",285,145
"LIVINGSTON","F","2019",118,99
"LIVINGSTON","M","2019",187,117
"MCHENRY","F","2019",47,41
"MCHENRY","M","2019",88,63
"OGLE","F","2019",191,126
"OGLE","M","2019",253,137
"STEPHENSON","F","2019",269,168
"STEPHENSON","M","2019",369,186
"WILL","F","2019",36,29
"WILL","M","2019",92,57
"WINNEBAGO","F","2019",74,49
"WINNEBAGO","M","2019",112,55
"BOONE","F","2021",40,15
"BOONE","M","2021",105,34
"CARROLL","F","2021",151,108
"CARROLL","M","2021",208,120
"DEKALB","F","2021",27,22
"DEKALB","M","2021",43,23
"GRUNDY","F","2021",68,49
"GRUNDY","M","2021",134,61
"JODAVIESS","F","2021",451,336
"JODAVIESS","M","2021",574,297
"KANKAKEE","F","2021",29,26
"KANKAKEE","M","2021",70,40
"KENDALL","F","2021",14,9
"KENDALL","M","2021",34,16
"LASALLE","F","2021",120,83
"LASALLE","M","2021",221,116
"LIVINGSTON","F","2021",117,91
"LIVINGSTON","M","2021",184,105
"MCHENRY","F","2021",48,33
"MCHENRY","M","2021",89,60
"OGLE","F","2021",123,96
"OGLE","M","2021",237,116
"STEPHENSON","F","2021",233,153
"STEPHENSON","M","2021",303,164
"WILL","F","2021",30,23
"WILL","M","2021",55,30
"WINNEBAGO","F","2021",56,34
"WINNEBAGO","M","2021",123,53
"BOONE","F","2022",66,38
"BOONE","M","2022",144,50
"CARROLL","F","2022",179,141
"CARROLL","M","2022",289,175
"DEKALB","F","2022",39,28
"DEKALB","M","2022",62,37
"GRUNDY","F","2022",124,84
"GRUNDY","M","2022",178,82
"JODAVIESS","F","2022",468,338
"JODAVIESS","M","2022",687,332
"KANKAKEE","F","2022",60,44
"KANKAKEE","M","2022",115,71
"KENDALL","F","2022",37,32
"KENDALL","M","2022",60,33
"LASALLE","F","2022",190,134
"LASALLE","M","2022",299,150
"LIVINGSTON","F","2022",125,98
"LIVINGSTON","M","2022",232,145
"MCHENRY","F","2022",42,36
"MCHENRY","M","2022",94,62
"OGLE","F","2022",157,106
"OGLE","M","2022",273,145
"STEPHENSON","F","2022",283,180
"STEPHENSON","M","2022",394,187
"WILL","F","2022",51,42
"WILL","M","2022",107,58
"WINNEBAGO","F","2022",72,40
"WINNEBAGO","M","2022",120,56
"BOONE","F","2023",80,43
"BOONE","M","2023",188,73
"CARROLL","F","2023",173,137
"CARROLL","M","2023",323,212
"DEKALB","F","2023",29,22
"DEKALB","M","2023",76,37
"GRUNDY","F","2023",111,78
"GRUNDY","M","2023",222,110
"JODAVIESS","F","2023",540,379
"JODAVIESS","M","2023",704,362
"KANKAKEE","F","2023",70,51
"KANKAKEE","M","2023",117,69
"KENDALL","F","2023",36,22
"KENDALL","M","2023",79,45
"LASALLE","F","2023",159,103
"LASALLE","M","2023",335,156
"LIVINGSTON","F","2023",147,109
"LIVINGSTON","M","2023",246,156
"MCHENRY","F","2023",38,32
"MCHENRY","M","2023",99,68
"OGLE","F","2023",193,133
"OGLE","M","2023",335,161
"STEPHENSON","F","2023",270,164
"STEPHENSON","M","2023",432,199
"WILL","F","2023",50,30
"WILL","M","2023",125,71
"WINNEBAGO","F","2023",90,51
"WINNEBAGO","M","2023",141,69
